CRASH_ID,CRASH_DATETIME,ROUTE,MILEPOINT,LAT_UTM_Y,LONG_UTM_X,MAIN_ROAD_NAME,CITY,COUNTY_NAME,CRASH_SEVERITY_ID,WORK_ZONE_RELATED,PEDESTRIAN_INVOLVED,BICYCLIST_INVOLVED,MOTORCYCLE_INVOLVED,IMPROPER_RESTRAINT,UNRESTRAINED,DUI,INTERSECTION_RELATED,WILD_ANIMAL_RELATED,DOMESTIC_ANIMAL_RELATED,OVERTURN_ROLLOVER,COMMERCIAL_MOTOR_VEH_INVOLVED,TEENAGE_DRIVER_INVOLVED,OLDER_DRIVER_INVOLVED,NIGHT_DARK_CONDITION,SINGLE_VEHICLE,DISTRACTED_DRIVING,DROWSY_DRIVING,ROADWAY_DEPARTURE
10810244,2016-01-07T09:35:00.000000+0000,30,82.841,4647821.0,342376.0,SR-30,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false
10808304,2016-01-09T17:22:00.000000+0000,84,11.2,4643463.255,363418.8612,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,true
10810575,2016-01-16T15:42:00.000000+0000,13,21.9,4621232.289,404914.4333000001,SR-13,GARLAND,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,true
10810582,2016-01-06T19:33:00.000000+0000,81,0.1,4626729.441000001,406505.6565,SR-81,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,true
10810591,2016-01-16T14:20:00.000000+0000,84,31.665,4628823.297,390517.762,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
10810593,2016-01-16T13:55:00.000000+0000,15,384.1,4624677.392999999,402139.389,I-15,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true
10821736,2016-02-18T11:44:00.000000+0000,13,24.5,4625326.028999999,404505.28740000003,SR-13,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
10821738,2016-02-14T08:35:00.000000+0000,15,379.222452,4616833.743,401208.3238,I-15,TREMONTON,BOX ELDER,2,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true
10837814,2016-04-13T05:50:00.000000+0000,102,15.497,4618395.2,401749.6576,1000 W MAIN,TREMONTON,BOX ELDER,1,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false
10821614,2016-02-19T15:05:00.000000+0000,1128,1.39,4620046.84,403199.93620000005,1400 SOUTH 100 WEST,GARLAND,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
